n,seed,train_loss,train_acc,val_loss,val_acc
100,0,6.0015,0.1673,7.8893,0.1733
100,1,5.8041,0.168,8.0456,0.154
100,2,5.7803,0.178,7.7448,0.1793
100,3,5.8171,0.1647,7.9749,0.1747
100,4,5.8884,0.172,8.1095,0.162
200,0,6.2347,0.1697,7.9893,0.169
200,1,6.0682,0.1697,7.953,0.1817
200,2,6.0404,0.1673,7.8758,0.175
200,3,6.0868,0.1717,7.908,0.1843
200,4,6.1145,0.1817,8.0103,0.1643
300,0,6.347,0.17,7.8866,0.1724
300,1,6.2448,0.1747,7.838,0.1862
300,2,6.1944,0.1724,7.8677,0.1673
300,3,6.2795,0.172,7.8314,0.1898
300,4,6.3337,0.178,7.9134,0.1684
400,0,6.437,0.1678,7.7214,0.1757
400,1,6.3353,0.1752,7.7435,0.1795
400,2,6.3008,0.1678,7.7747,0.161
400,3,6.3427,0.1747,7.6387,0.1755
400,4,6.4829,0.1737,7.7547,0.1732
500,0,6.3873,0.1707,7.5847,0.1761
500,1,6.3447,0.178,7.6466,0.1631
500,2,6.2982,0.1665,7.5315,0.1623
500,3,6.34,0.1708,7.5286,0.1743
500,4,6.43,0.1751,7.5026,0.1735
1000,0,6.2739,0.1809,7.5814,0.1831
1000,1,6.2346,0.193,7.6627,0.1842
1000,2,6.1803,0.1897,7.5159,0.1807
1000,3,6.1736,0.1989,7.5576,0.1919
1000,4,6.2344,0.1999,7.4172,0.1817
1500,0,6.1877,0.2097,7.4146,0.1886
1500,1,6.195,0.2039,7.4875,0.181
1500,2,6.1211,0.2076,7.3729,0.1837
1500,3,6.1946,0.2062,7.4107,0.1867
1500,4,6.178,0.2145,7.2338,0.1887
2000,0,6.1384,0.2122,7.344,0.1872
2000,1,6.1451,0.2148,7.3184,0.1902
2000,2,6.1427,0.2111,7.2689,0.1889
2000,3,6.1637,0.2078,7.2942,0.1941
2000,4,6.1343,0.218,7.2021,0.1911
2500,0,6.1114,0.2198,7.2295,0.1959
2500,1,6.0909,0.2249,7.2351,0.1953
2500,2,6.0624,0.2216,7.2,0.196
2500,3,6.0978,0.2198,7.1917,0.2007
2500,4,6.0632,0.2323,7.059,0.2022
5000,0,5.8257,0.2578,6.8938,0.2251
5000,1,5.8162,0.26,6.8636,0.2236
5000,2,5.8322,0.2604,6.8626,0.2279
5000,3,5.8153,0.261,6.8362,0.2279
5000,4,5.8355,0.2594,6.8081,0.2268
7500,0,5.7129,0.2721,6.7372,0.234
7500,1,5.687,0.2746,6.733,0.2344
7500,2,5.7013,0.2723,6.7523,0.2365
7500,3,5.6966,0.2733,6.7381,0.2379
7500,4,5.6654,0.2795,6.7247,0.2378
10000,0,5.5811,0.2866,6.6624,0.2419
10000,1,5.5592,0.2879,6.6808,0.241
10000,2,5.5957,0.284,6.6746,0.2427
10000,3,5.6257,0.285,6.6707,0.2444
10000,4,5.5589,0.2902,6.6501,0.2438
15000,0,5.471,0.2992,6.5378,0.2509
15000,1,5.4672,0.2999,6.5501,0.2543
15000,2,5.4751,0.2994,6.5741,0.2543
15000,3,5.4685,0.3019,6.5468,0.2542
15000,4,5.4999,0.3,6.5466,0.254
20000,0,5.4121,0.3067,6.4352,0.2604
20000,1,5.4079,0.3077,6.4642,0.2605
20000,2,5.4106,0.307,6.4548,0.2603
20000,3,5.3875,0.311,6.4551,0.2609
20000,4,5.381,0.3123,6.4065,0.2626
